,troll,mentions,tweet
360,ilikebigbuttand,"[""dreamweasel""]","RT @Dreamweasel: ""Mrs. Clinton, if you're so clever, can YOU craft a compelling reason to vote for Trump?""

""Sit down, Senator Ryan.""

#Rej…"
361,toneporter,"[""kevin_m_hart"",""theclobra""]",RT @kevin_m_hart: @theclobra your tweets on pain killers help relieve our pain this #ElectionDay #KeepEmComing
362,traceyhappymom,"[""realdonaldtrump"",""chiefplan1""]",RT @chiefplan1: #IDontThinkIWasMeantTo vote for a cheeto faced ferret wearing shitgibbon demogogue like unfit @realDonaldTrump https://t.co…
363,meggieoneil,"[""geffgefferson1"",""midnight""]","RT @GeffGefferson1: #OverheardAtRNC Does This White Hood Make Me Look Fat???   
@midnight  
#RNCinCLE"
364,traceyhappymom,"[""chiefplan1""]","RT @chiefplan1: #ElectionDayIn5Words

Unfit Loser Trump's
Mental Breakdown"
365,charlesjharper,"[""stormynights10""]","RT @stormynights10: #TrumpsFavoriteHeadline Trump's Lingerie Bedroom Line Collection, with lead model Ivanka Trump"
366,bgarner2107,"[""theclobra""]",RT @theclobra: How about you apologize for all of the lies and predictions you made regarding Obama before you start on Hillary. #DemsInPhi…
367,melvinsroberts,"[""theclobra""]","RT @theclobra: Division or Unity, Your Choice #ElectionDayIn5Words #StrongerTogether #ImWithHer"
368,amandavgreen,"[""chiefplan1""]","RT @chiefplan1: Delusional Donnie-racist facist xenophobe misogynist predator! UNFIT
Deplorable &amp; irredeemable!
Support him-
don't… "
369,dominicvalent,"[""realdonaldtrump"",""chiefplan1""]","RT @chiefplan1: #IForgotToSay
@realDonaldTrump
Release yr taxes or renounce yr citizenship Unfit unqualified unacceptable liar loser https:…"
370,loragreeen,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #MustBeBanned: Barack Obama speaking, when he finally gets the fuck out of office."
371,hellieedwards,"[""theclobra""]","RT @theclobra: Division or Unity, Your Choice #ElectionDayIn5Words #StrongerTogether #ImWithHer"
372,chrixmorgan,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #IHaveARightToKnow with all the sniffing Trump was doing. Why didnt he offer any of that cocaine to Lester, so Lester…"
373,bgarner2107,"[""realdonaldtrump"",""geffgefferson1""]","RT @GeffGefferson1: The @realDonaldTrump Campaign!!!
https://t.co/WSPCJZduqg"
374,charlesjharper,"[""therealezway""]","RT @therealezway: OMG Obama sent cash to Iran? 
Yes

For Prisoners?
No

For a legal dispute back from 1979?
Yes

Did Reagan ever use ransom…"
375,dickyirwin,"[""dreamweasel""]",RT @Dreamweasel: #HillarysHealth #HillarysBodyDouble https://t.co/G7UUdzeaLI
376,traceyhappymom,"[""therealezway""]","RT @therealezway: OMG Obama sent cash to Iran? 
Yes

For Prisoners?
No

For a legal dispute back from 1979?
Yes

Did Reagan ever use ransom…"
377,notritahart,"[""chiefplan1""]","RT @chiefplan1: Trump promises segregation--
https://t.co/SHXPDCyYVq"
378,hellieedwards,"[""theclobra""]",RT @theclobra: #IfTheMediaRiggedTheElection it's just because there is a general consensus among those that can form complete sentences tha…
379,bruciedublin,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #IHaveARightToKnow if Obama is planning on moving back to his birthplace, Kenya."
380,notritahart,"[""therealezway""]","RT @therealezway: The media has given Hillary the most negative coverage of any candidate, all for debunked claims. Trump's been given a bi…"
381,bruciedublin,"[""dreamweasel""]","RT @Dreamweasel: I am aware of many Republicans who have endorsed Clinton. Can't name one Democrat who has done the same for Trump.

 #Elec…"
382,kathiemrr,"[""midnight""]",This is one of only two trains available and neither will take me to a better time. #TimeTravelerProblems @midnight  https://t.co/S9xpM6ZWwD
383,worldofhashtags,"[""shane_rodenbeck""]",RT @Shane_Rodenbeck: #RejectedDebateTopics: Hillary Clinton's qualifications
384,dannythehappies,"[""therealezway""]",RT @therealezway: Hillary Clinton just released her strategy to fully enroll mental healthcare into the healthcare system and it's glorious…
385,meggieoneil,"[""midnight""]",Why doesn't anybody believe me that the poop emoji won the write in  election? #TimeTravelerProblems  @midnight
386,hellieedwards,"[""annogalactic""]","RT @AnnoGalactic: #tshirtideas

                     I'm not
                 with stupid.
                         👇
          @realdonald…"
387,jarrardnorman,"[""shane_rodenbeck""]","RT @Shane_Rodenbeck: #MustBeBanned: Barack Obama speaking, when he finally gets the fuck out of office."
388,amandavgreen,"[""chiefplan1""]",RT @chiefplan1: Don't kid yourself Delusional Donnie there arent tens of millions of Americans being written off--you dont have tha… 
389,curtisbigman,"[""geffgefferson1"",""realdonaldtrump"",""junkywithamonke""]","RT @GeffGefferson1: #IfIWonTheElection It Would Be A  HUGE DISASTER BIGLY!!!(@realDonaldTrump ONLY)
@JunkyWithAMonkE 
#NEVERTRUMP
#ImWitHer…"
390,donnielmiller,"[""midnight"",""geffgefferson1""]","RT @GeffGefferson1: #OverheardAtRNC Does This White Hood Make Me Look Fat???   
@midnight  
#RNCinCLE"
391,jarrardnorman,"[""annogalactic""]",RT @AnnoGalactic: Can we have #Debatenight once a fortnight even after the election?
392,holycrapchrix,"[""geffgefferson1"",""realdonaldtrump""]",RT @GeffGefferson1: A @realDonaldTrump Presidency #ReasonsHumansWillGoExtinct
393,holycrapchrix,"[""chiefplan1""]","RT @chiefplan1: #ElectionDayIn5Words

Unfit Loser Trump's
Mental Breakdown"
394,dickyirwin,"[""geffgefferson1"",""realdonaldtrump""]","RT @GeffGefferson1: #FamousCreatures @realDonaldTrump 
#debate"
395,melvinsroberts,"[""chiefplan1""]",RT @chiefplan1: Don't kid yourself Delusional Donnie there arent tens of millions of Americans being written off--you dont have that many s…
