,troll,mentions,tweet
615,aantiracist,"[""paix120"",""elonjames"",""mspackyetti"",""hillaryclinton""]","RT @paix120: They're not saying they want Trump, but that Clinton isn't a given. Work to be done there, Dems.
@elonjames @MsPackyetti @Hill…"
616,janelperkinson,"[""mrnegromilitant""]","RT @MrNegroMilitant: CNN has uploaded Obama's new role.... #SellOut

https://t.co/VmjpnID8xh"
617,ameliebaldwin,"[""ggreenwald""]",RT @ggreenwald: It's incredibly telling that Obama endured his first veto override in defense of this cause... https://t.co/9UlpTwcNHw
618,hunteroddddom,"[""blacktolive"",""blicqer""]",RT @blicqer: Trump Entered a Black Church and a Lightning Didn’t Strike Him https://t.co/xZ3y3tqEU8 via @BlackToLive
619,nojonathonno,"[""blicqer""]",RT @blicqer: ▶ Democratic Rep. Maxine Waters trashes Trump: ‘I don’t believe anything Donald Trump says’ https://t.co/WM9rwyz6eG… 
620,camosaseko,"[""blicqer"",""blkwestchesterm""]",RT @blicqer: Pence Plane Skids off Runway; No Injuries Reported https://t.co/qFJdONDdPu @BlkWestchesterM https://t.co/M7qIzs7G7t
621,nojonathonno,"[""nydailynews"",""blicqer""]",RT @blicqer: ▶ Lesley Stahl's Donald Trump interview failure a scary preview https://t.co/iq5Bva7BbH @NYDailyNews https://t.co/2TrCPv8InP
622,chadsloyer,"[""talibkweli"",""carpophores""]",RT @TalibKweli: You think racists never employ POC? No racist bosses exists? You can't be this stupid @carpophores https://t.co/AR8J6pQHzO
623,cookncooks,"[""thedailyedge""]","RT @TheDailyEdge: Tuesday: ""I'm voting Trump because he'll protect Medicare!""
Friday: Paul Ryan announces: ""We're killing #Medicare"" https:…"
624,zzzacharyzzz,"[""kdog0126"",""realdonaldtrump"",""revjjackson"",""amjoyshow""]","RT @kdog0126: @RevJJackson thx for appearing on @amjoyshow, surrogates have been using your words as endorsement to @realDonaldTrump outrea…"
625,emileewaren,"[""nettaaaaaaaa"",""samswey"",""wdfx2eu7"",""deray"",""shaunking"",""lorettalynch"",""potus""]","RT @WDFx2EU7: Summer of Chaos was real, folks, @LorettaLynch, @POTUS, @Deray, @ShaunKing, @samswey, &amp; @Nettaaaaaaaa should be in… "
626,melanymelanin,"[""russian_starr"",""kemetic_kitty""]","RT @Kemetic_Kitty: https://t.co/JTwWytoJK9

Thank you so much @Russian_Starr for this great article."
627,blackmattersus,"[""rawstory""]",Parents blast school after Trump-loving students tell black kids to get in the back of the bus @RawStory… https://t.co/X3cHIyqofV
628,javonhidp,"[""motherjones"",""charlesmblow""]",RT @CharlesMBlow: Mike Pence lied constantly last night. So how can he be the winner of the debate? https://t.co/N7d8pHCjkf via @motherjones
629,melanymelanin,"[""blicqer"",""afkinsider""]",RT @blicqer: Will Trump Election Uncertainty Change The Way South Africa Reports On HIV/AIDS? https://t.co/HC2GgsDJzV @AFKInsider https://t…
630,crystal1johnson,"[""russian_starr""]",RT @Russian_Starr: Black women occupying space space in Public Square. #RNCinCLE #BlackLivesMatter #BlackGirlMagic https://t.co/QeNGJLb8MG
631,youjustctrlc,"[""mspackyetti""]","RT @MsPackyetti: I've said this so many times. I do not believe we can afford Trump.

Which means the concerns of young POC must be heard +…"
632,adamchapmanjr,"[""fusion""]",RT @Fusion: Today in Trump: Trump can't figure out if he's met Putin or not https://t.co/1Oxa510JOh https://t.co/Jt8aLD0JBS
633,randolphburrr,"[""mrnegromilitant"",""donilo252525""]","RT @donilo252525: @MrNegroMilitant I never used to ascribe to ""Obama suffers from ED"" talk, but his statements in support of TPP give me ca…"
634,regieblackmon,"[""talibkweli"",""tony_bamanaboni""]",RT @TalibKweli: All of this is hyperbolic partisan assumption. Why display your stupidity? @tony_bamanaboni https://t.co/JI8oECyrTI
635,nojonathonno,"[""blicqer"",""blackmattersus""]",RT @blicqer: Hate Crime Increases After Trump’s Victory https://t.co/bLRX4nfUQI @BlackMattersUS https://t.co/9MxJ5abMJE
636,javonhidp,"[""deray""]","RT @deray: ""...greatest honor of my life."" Frightening. https://t.co/Y7J2uKVH6Y"
637,johnieboycooks,"[""fusion""]",RT @Fusion: Will Trump keep us safe? This cartoon might make you think twice: https://t.co/8mvWVCinBJ https://t.co/3ioydRlWcG
638,jery_robertsyo,"[""thehill"",""amjoyshow""]",RT @amjoyshow: Poll: #Clinton edges #Trump in deep-red Arizona https://t.co/rCorN4tmKy via @thehill
639,iiddaamarks,"[""djolder""]",RT @djolder: all I have for them is a welp https://t.co/ObZ40HtViz
640,bigseanbeast,"[""feministajones""]","RT @FeministaJones: How did the ""Hillary Clinton is a warmongerer"" rhetoric start? Anyone have a specific pinpoint like an article or somet…"
641,siccerthanyou,"[""shaunking""]",RT @ShaunKing: Hell no! Howard Dean should not be the Chair of the DNC. Period. Dot com. The dude is a great friend of problematic lobbyist…
642,imapharrelfake,"[""feministajones""]",RT @FeministaJones: The majority of Trump's supporters aren't smart enough to realize he is doing everything he accused HRC of doing.  They…
643,zzzacharyzzz,"[""mrnegromilitant""]","RT @MrNegroMilitant: Clinton IS More Interventionist Than Trump, Whom WILL Inherit HER Middle East Crises.

https://t.co/xvSK67BjCR https:/…"
644,melanymelanin,"[""pix11news"",""blicqer""]","RT @blicqer: ▶ Jay Z, Beyonce headline concert for Clinton https://t.co/CgFtf89MOY @PIX11News https://t.co/ZvLeR1z6Ec"
645,drmichaelgarcia,"[""ggreenwald""]","RT @ggreenwald: Chris Matthews, somehow, actually identified the real problem perfectly: https://t.co/Yvnmeb2bBJ"
646,javonhidp,"[""mrnegromilitant""]","RT @MrNegroMilitant: Hell Hath No Fury Like A Women Scorned By Donald Trump.

https://t.co/r4vkulMzLI https://t.co/iFhfDqyYlG"
647,javonhidp,"[""bbc5live"",""blicqer""]",RT @blicqer: ▶ Early voting gives Clinton a boost https://t.co/oCgOicPAoH @BBC5Live https://t.co/rLTEsk07jp
648,javonhidp,"[""carpophores"",""talibkweli""]",RT @TalibKweli: DNC? When did I support ANY candidate? Or party? U seem confused. U ok? @carpophores https://t.co/3zDWK75fDz
649,sincerepruitt,"[""fusion""]",RT @Fusion: This former Bush administration official appeared in a Spanish-language ad for Clinton https://t.co/hXyo71kYUA https://t.co/4cx…
650,chadsloyer,"[""people"",""kylegriffin1""]","RT @kylegriffin1: ""He was pushing me against the wall, and forcing his tongue down my throat."" —Natasha Stoynoff on Trump in @people:… "
651,melanymelanin,"[""transgriot""]",RT @TransGriot: #IveNoticed that the people who push for a third party always falsely claim there's no difference between the Democrats &amp; t…
652,claypaigeboo,"[""abc7ny"",""blicqer""]","RT @blicqer: Trump, Pence Land in Flood-Ravaged Louisiana https://t.co/gtS3hhYye3 via @ABC7NY"
653,kaydenmelton,"[""talibkweli""]","RT @TalibKweli: They add ""deplorable"" to their names 2 show support for Trump. They troll ppl of color all day calling ppl SJW, cuck, retar…"
654,gwennythot,"[""rawstory""]",RT @RawStory: Another tax bombshell: Daddy #Trump had to set up $38 million slush fund to bail Donald out prior to 1980… 
655,iiddaamarks,"[""mrnegromilitant"",""8daysaweek63""]","RT @MrNegroMilitant: Yeah, you dumbfuck @8daysaweek63 I'll ask him while humans are sprayed with water in freezing temps.… "
656,paulinett,"[""theintercept"",""blicqer""]",RT @blicqer: ▶ Trump Super PAC Sting Shows How Citizens United Opened Door to Foreign Money https://t.co/ZmSCrYCyFI @TheIntercept https://t…
657,stanleyparris,"[""delo_taylor""]",RT @Delo_Taylor: Statement from Paul Manafort on his resignation &amp; the current state of the Donald Trump campaign: https://t.co/mAkanskp2H
658,camosaseko,"[""blicqer"",""nydailynews""]",RT @blicqer: ▶ SNL channels final debate as ‘entire planet' laughs at Trump https://t.co/hgS30JhBi8 @NYDailyNews https://t.co/ic7LIjHX8R
659,finnaglo,"[""fusion""]",RT @Fusion: Hillary Clinton's campaign has established a Spanish-language hotline for Latinos to report voter suppression:… 
660,blacktolive,"[""deray""]","RT @deray: Reporter: Why should black people vote for you?

Trump: https://t.co/b5SPofzP0j"
661,javonhidp,"[""blicqer"",""rawstory""]",RT @blicqer: ▶ Putin grants Russian citizenship to Trump-loving actor Steven Seagal https://t.co/VJN2eyaXLK @RawStory https://t.co/pxzWPLIN…
662,adamchapmanjr,"[""abc7ny"",""newyorkcommuter"",""blicqer""]","RT @blicqer: ▶Obama: I Have 'Better Argument' for TPP Than Trump, Clinton https://t.co/b0GOCSw6P8 @ABC7NY @NewYorkCommuter"
663,nojonathonno,"[""charlesmblow""]",RT @CharlesMBlow: Is momentum swinging back towards Clinton in this poll? https://t.co/oPwUYgmzTm
664,nojonathonno,"[""blicqer"",""hwmag""]",RT @blicqer: How The Election Impacts The Market https://t.co/TBzkrhPRA1 @HWMag https://t.co/ZJl7XDMd32
665,travisrespek,"[""blacktolive"",""blicqer""]",RT @blicqer: Trump Entered a Black Church and a Lightning Didn’t Strike Him https://t.co/xZ3y3tqEU8 via @BlackToLive
666,hunteroddddom,"[""ggreenwald"",""thedailybeast""]","RT @ggreenwald: Even though virtually every person whom @TheDailyBeast smeared as a ""Trump supporter"" said they are not, they keep promotin…"
667,cannonsher,"[""feministajones""]","RT @FeministaJones: CNN has a ticker counting down to when Pres. Obama speaks to Trump. 

Please don't tell me anything about the media… "
668,randolphburrr,"[""mspackyetti""]","RT @MsPackyetti: I've said this so many times. I do not believe we can afford Trump.

Which means the concerns of young POC must be heard +…"
669,nojonathonno,"[""blackamericaweb"",""blicqer""]",RT @blicqer: Anti-Trump Protests Continue Around U.S. And The World https://t.co/KhTrbtFFPp @BlackAmericaWeb https://t.co/kkS9RuqcUV
670,nojonathonno,"[""blicqer"",""rawstory""]",RT @blicqer: ▶ Asia sees changed relationship with the US no matter who wins the election https://t.co/4K8codilwN @RawStory https://t.co/sk…
671,bigseanbeast,"[""docrocktex26""]","RT @docrocktex26: Yes I have, and we go together. https://t.co/kPzLjSQCBA"
672,bigseanbeast,"[""blicqer"",""alternet""]",RT @blicqer: Media Need 12-Step Program for Donald Trump Addiction https://t.co/HgMCBL7X5I via @AlterNet https://t.co/iFXEiCfVkM
673,jaydaastonishin,"[""blicqer""]","RT @blicqer: ▶ In Nazi-Like Speech, Trump Responds to Sexual Assault Claims With Broad Conspiracy Theory Designed to…… "
674,finnaglo,"[""pooter03"",""docrocktex26"",""wrapnik75"",""danpfeiffer""]",RT @pooter03: @docrocktex26 @WrapNik75 @danpfeiffer good article on HRC's data team. https://t.co/kvIzqJyPVt
675,camosaseko,"[""nydailynews"",""blicqer""]",RT @blicqer: ▶ Trump wants 'Hamilton' cast apology after actor's speech to Pence https://t.co/h4LRoWMbt2 @NYDailyNews https://t.co/pYCVsRrl…
676,cookiiieeessss,"[""alternet"",""blicqer""]","RT @blicqer: ▶ Trump University? You Won't Believe This Other Under-the-Radar Bondi Scheme,… https://t.co/wUucyCv4tE @AlterNet https://t.co…"
677,willisbonnerr,"[""feministajones""]","RT @FeministaJones: These Sunday morning political conversations are happening and I love it

Don't forget, tho:

Donald Trump does NOT wan…"
678,regieblackmon,"[""deray"",""c4emily""]","RT @C4Emily: ""The right wing just organise better - they do not have more support"" - @deray on #c4news #blacklivesmatter #Trump https://t.c…"
679,jaydaastonishin,"[""blicqer""]","RT @blicqer: ▶ Donald Trump REFUSING To Pay His Hotel Bill After Campaign Stop, The Reason Is EVIL (DETAILS)… "
680,ramonasnails,"[""nydailynews"",""blicqer""]",RT @blicqer: ▶ Billy Bush's supporting role in Trump video may cost him NBC gig https://t.co/YKcISilti0 @NYDailyNews https://t.co/7LupCCRIHr
681,camosaseko,"[""ajcalloway"",""shaunking""]",RT @ShaunKing: Oh wow. @AJCalloway just asked Donald if he has a relationship with Putin and now he says he absolutely doesn't. Wa… 
682,nojonathonno,"[""foxnews"",""blicqer""]",RT @blicqer: ▶ MARCH ON: Obama tells anti-Trump protesters not to remain 'silent' https://t.co/mHKS4ElFw3 @FoxNews https://t.co/Q9YHmqZtaO
683,paulinett,"[""natcounterpunch"",""blicqer""]",RT @blicqer: ▶ Is Trump Ready to Go Nuclear? https://t.co/RKauXLCEgC @NatCounterPunch https://t.co/g4lxEf5rCh
684,drmichaelgarcia,"[""urbanintellects"",""blicqer""]",RT @blicqer: CNN ‘You have normalized’ white supremacy with shoddy Trump repo... https://t.co/mNenDi1PMm via @UrbanIntellects https://t.co/…
685,ramonasnails,"[""blicqer"",""abc7ny""]",RT @blicqer: ▶ Donald Trump offers national security adviser job to Michael Flynn https://t.co/3MJnvMrJPh @ABC7NY https://t.co/xwYzUquwcb
686,jassscott,"[""newpghcourier"",""blicqer""]",RT @blicqer: Guest Editorial…Trump insults voters of Pennsylvania https://t.co/mKd9WroE9e via @NewPghCourier https://t.co/WwlzTBljn0
687,stanleyparris,"[""docrocktex26""]",RT @docrocktex26: I'm tired of America pretending Obama didn't lead a historic economic recovery just so White dudes can be pessimistic abo…
688,javonhidp,"[""blicqer"",""theintercept""]","RT @blicqer: ▶ Police Unions Reject Charges of Bias, Find a Hero in Donald Trump https://t.co/hG9JnR6kx5 @TheIntercept https://t.co/pAOJFyg…"
689,jani_s_jac,"[""rawstory""]",RT @RawStory: Trump ordered models to stand on his table so he could see if they were wearing underwear: report… 
690,regieblackmon,"[""rawstory""]",RT @RawStory: Eric Trump becomes second Trump to appear on radio show with ties to white nationalism https://t.co/ionMc5cpzA https://t.co/M…
691,jery_robertsyo,"[""danteb4u""]",RT @DanteB4u: A most disgusting example of DT trying to use black pain for political gain. My condolences to Dwyane Wade's family. https://…
692,jaydaastonishin,"[""blicqer"",""dnainfony""]",RT @blicqer: ▶ Friday is the Deadline to Register to Vote in the 2016 General Election https://t.co/tcg0ut83nS @DNAinfoNY https://t.co/3MQe…
693,brianthelifter,"[""delo_taylor""]",RT @Delo_Taylor: Come on fam you said it was intimidation. Who was being intimidated? Black Obama voters? Again...West Philadelphia. https:…
694,nojonathonno,"[""blicqer""]",RT @blicqer: ▶ Charles Blow unloads on Trump advocate: ‘Don’t try to force me to fall in line behind an unrepentant…… 
695,ogdeandre,"[""rawstory""]","RT @RawStory: Warren calls BS on Trump’s VP attacks: ‘I’m right where I want to be, calling you out’ https://t.co/9PLA4sksfQ https://t.co/R…"
696,camosaseko,"[""delo_taylor""]","RT @Delo_Taylor: Here is Terri Lynn Rote, the White Supremacist Trump supporter arrested on voter fraud charges in Des Moines, Iowa.… "
697,brianaregland,"[""feministajones""]",RT @FeministaJones: Janet Reno died https://t.co/mrQIrHBFMd
698,corynaenae,"[""cnn"",""mrnegromilitant""]","RT @MrNegroMilitant: What the Green Party's Jill Stein believes in 2 minutes on #CNN #Trump gets days worth of coverage from @CNN

https://…"
699,onemightyfish,"[""danteb4u""]",RT @DanteB4u: The 2016 election vote tally debunks the false narrative that Trump was the choice of the majority of the electorat… 
700,sincerepruitt,"[""fusion""]",RT @Fusion: Obama says Kaepernick is 'exercising his constitutional right' with protest https://t.co/eXeGNmvUoG https://t.co/gHZ7BVYPpN
701,javonhidp,"[""bbc5live"",""blicqer""]",RT @blicqer: ▶ Comedian Rich Hall breaks down the US election https://t.co/eQNCZUWBpH @BBC5Live https://t.co/biOWjxxwjb
702,ravenicholson,"[""tyleroakley"",""deray""]","RT @tyleroakley: a great, quick read from @deray. https://t.co/pc9vdNstGG"
703,youjustctrlc,"[""fleshmankaren"",""deray"",""jeffadachi"",""wkamaubell""]",RT @FleshmanKaren: Excited to listen to @deray @jeffadachi @wkamaubell discuss Equal Justice: Post-Obama! Tix at City Box Office: https://t…
704,javonhidp,"[""fusion""]","RT @Fusion: Thank you, Hillary Clinton: 19 photos from her decades of public service https://t.co/GikK7HHok6 https://t.co/SVB0aPb67g"
705,melanymelanin,"[""delo_taylor""]","RT @Delo_Taylor: Alternate Headline: ""White boy thinks #MAGA hat gives him special powers, says some racist shit, starts swinging then gets…"
706,iiddaamarks,"[""marcbroc"",""blogliberally"",""docrocktex26""]","RT @MarcBroc: The Trump Effect. TX AG, ME Governor, D Duke, etc. #VoteBlueDownBallot #VoteBlue @BlogLiberally @docrocktex26… "
707,jaydaastonishin,"[""blicqer""]","RT @blicqer: ▶ JUST IN: Hillary Clinton PERFECTLY Responds To N.C. Bombing, GOP Flips Out (DETAILS) https://t.co/FWHA68FeiG… "
708,melanymelanin,"[""blicqer"",""bbc5live""]",RT @blicqer: ▶ Clinton's Death Row Records chic https://t.co/MQxxVpRAsi @BBC5Live https://t.co/NDfrJVEokt
709,johnnymarch_,"[""transgriot"",""charlesmblow""]",RT @TransGriot: @CharlesMBlow They're not...Some peeps desperate to have a white man back in the White House &amp; don't care Trump is unqualif…
710,jery_robertsyo,"[""talibkweli""]","RT @TalibKweli: It started w first black president. Birthers, led by Trump, went nuts, bought guns, started white nationalist sites https:/…"
711,regieblackmon,"[""ariberman"",""amjoyshow""]","RT @amjoyshow: .@AriBerman joins #AMJoy today on voter suppression efforts throughout the country. See his book below, and join us… "
712,mrmoraan,"[""thedailyedge""]","RT @TheDailyEdge: Republicans deny they failed to fully vet Trump, except about his University, Foundation, taxes, and pussy grabbing https…"
713,regieblackmon,"[""feministajones""]","RT @FeministaJones: People say they had to unfriend Trump supporters on FB. 

Can't relate."
714,drmichaelgarcia,"[""deray""]","RT @deray: Targeting Black Voters, New Pro-Clinton Super PAC Ad Analyzes Trump's Rhetoric https://t.co/ZgEUoi5yco"
715,bigseanbeast,"[""ggreenwald""]",RT @ggreenwald: Fascinating comparison: (a) % of Americans supporting Trump to (b) % of US journalists' time-line supporting Trump https://…
716,mrclydepratt,"[""rawstory"",""blackmattersus""]",RT @blackmattersus: Parents blast school after Trump-loving students tell black kids to get in the back of the bus @RawStory… 
717,bigseanbeast,"[""rawstory""]",RT @RawStory: A neuroscientist explains why Trump is winning https://t.co/xUCuVW0gN6 https://t.co/6vCM1ccAV2
718,errivvvvers,"[""chakra_sandhi"",""auntrube"",""johnfurrtoronto"",""realdonaldtrump"",""mrnegromilitant""]",RT @MrNegroMilitant: Somebody's gotta set this shit right. @Chakra_Sandhi @AuntRube @JohnFurrToronto @realDonaldTrump
719,jerstoner,"[""rawstory""]",RT @RawStory: Trump’s own bankruptcy lawyers say he lies so much they could only meet with him in pairs https://t.co/hT6TReDFJb https://t.c…
720,ogdeandre,"[""deray"",""tyleroakley""]","RT @tyleroakley: a great, quick read from @deray. https://t.co/pc9vdNstGG"
721,jaydaastonishin,"[""thedailyedge""]","RT @TheDailyEdge: The Trump brand is all about winning.

Correction, whining."
722,lagonehoe,"[""feministajones""]",RT @FeministaJones: So much so that they can disregard gay conversion therapy supporter Mike Pence https://t.co/4apRfxb9Tt
723,regieblackmon,"[""kylegriffin1""]","RT @kylegriffin1: 24 days before the election, Trump is campaigning in Maine — for one electoral vote: https://t.co/nM3HXbW2Hg"
724,melanymelanin,"[""blicqer""]","RT @blicqer: In Jacksonville, Black Women are the Focal Point of Efforts to Elect Hillary Clinton https://t.co/0Z2gyUPOk1 @BlackPressUSA ht…"
725,paulinett,"[""natcounterpunch"",""blicqer""]",RT @blicqer: ▶ The Democratic Swindle: Hillary or Trump? https://t.co/BxKLEwAczT @NatCounterPunch https://t.co/I5xiJ3YDxA
726,paulinett,"[""nydailynews"",""blicqer""]",RT @blicqer: ▶ Hillary Clinton collects over 1M popular votes ahead of Trump https://t.co/KTIXaAp73o @NYDailyNews https://t.co/NTkADOUxrV
727,malloryjared,"[""mrnegromilitant""]","RT @MrNegroMilitant: Act Out! [77] - The Real Election Spoilers and We Pledge Allegiance to Knowledge

https://t.co/EnZRWCXMAu"
728,ilovesarahrich,"[""samklng_"",""talibkweli""]",RT @TalibKweli: Samantha Bee interviews Paid Russsian Trolls influencing election. VIDEO @samklng_  https://t.co/rCaaFj0LUF https://t.co/SC…
729,ramonasnails,"[""blicqer"",""nydailynews""]",RT @blicqer: ▶ Melania Trump gets schlonged — again https://t.co/9j9oIvcq7R @NYDailyNews https://t.co/Ha0sTha3tW
730,nojonathonno,"[""nydailynews"",""blicqer""]",RT @blicqer: ▶ Billy Bush ripped as ‘scumbag’ over Donald Trump hot mic video https://t.co/68M1U0Y89z @NYDailyNews https://t.co/9S8DwX9TOB
731,alecmooooody,"[""stopnuclearwar"",""suekhi"",""shewhovotes"",""rain_surname"",""puppymnkey"",""docrocktex26"",""maggyw519"",""adamsflafan""]",RT @Rain_Surname: @SheWhoVotes @suekhi @StopNuclearWar @Maggyw519 @AdamsFlaFan @puppymnkey @docrocktex26 Here's how our election is b… 
732,acejinev,"[""blicqer"",""therealnews""]",RT @blicqer: ▶ Affordable Housing Trust Fund Tacked onto Baltimore’s Election Day Ballot https://t.co/MKrHxOSfNC @TheRealNews https://t.co/…
733,onemightyfish,"[""shaunking""]",RT @ShaunKing: This. https://t.co/STZEJ4H5xl
734,pamblmdaniels,"[""shaunking""]","RT @ShaunKing: 3 different women/girls, including his first wife, have said Trump sexually assaulted them. His wife &amp; the 13 y/o girl said…"
735,drmichaelgarcia,"[""feministajones""]",RT @FeministaJones: The Revolution looking funny in the light https://t.co/CVAcGMEmDU
736,ravenicholson,"[""deray""]",RT @deray: what? https://t.co/v9Gd0o1DYj
737,queennarielle,"[""revjjackson"",""amjoyshow"",""pammie629""]","RT @Pammie629: @amjoyshow @RevJJackson You did it Joy! Thank you Rev Jackson for clearing a lot of things on Trump. Joy, thank you for corr…"
738,ten_gop,"[""deray""]",Just a reminder: #BLM leader @deray lives in home owned by Soros! https://t.co/Ghj1GLff65
739,bigboysneed,"[""feministajones""]",RT @FeministaJones: My body is ready for this mutiny! https://t.co/RaQItnkshq
740,paulinett,"[""allblackmedia"",""blicqer""]",RT @blicqer: Dave Chappelle Pissed at False Claims Saying He’s Pro-Trump https://t.co/8bxUf3UnwX @AllBlackMedia https://t.co/vTXOpeYofB
741,jaydaastonishin,"[""blicqer"",""blacktolive""]",RT @blicqer: Trump Entered a Black Church and a Lightning Didn’t Strike Him https://t.co/xZ3y3tqEU8 via @BlackToLive
742,staywoke88,"[""kylegriffin1""]",RT @kylegriffin1: Just in: Speaker Ryan spokesperson statement pushes back on Trump's rigged election comments: https://t.co/PChuwXzntM
743,jeanuttella,"[""newyorkcommuter"",""abc7ny"",""blicqer""]",RT @blicqer: ▶Trump to Father of Fallen Soldier: 'I've Made a Lot of Sacrifices' https://t.co/TlJ40BbTzA @ABC7NY @NewYorkCommuter
744,youjustctrlc,"[""thedailybeast"",""ggreenwald""]",RT @ggreenwald: Not that I know of. That's presumably why @TheDailyBeast had to publish a false list of people who actually don't. https://…
745,willisbonnerr,"[""mspackyetti""]",RT @MsPackyetti: Thanks! That means a lot. It makes it worth sharing 🙏🏾 https://t.co/VZecgDsiTj
746,ramonasnails,"[""delo_taylor""]","RT @Delo_Taylor: #TrumpsBlackOutreachSoBad he can't even find any Black folks to hold up the ""Blacks For Trump"" signs at his rallies. https…"
747,brianaregland,"[""deray""]",RT @deray: agreed. https://t.co/5y5P1tLOOF
748,datwisenigga,"[""mrnegromilitant""]","RT @MrNegroMilitant: Robert Bentley, Barack Obama: Grant clemency to Robin ""Rocky"" Myers and change his sentence from deat... https://t.co/…"
749,hunteroddddom,"[""talibkweli""]",RT @TalibKweli: I am happy Harris doesn't support Trump. But he still enables white supremacy w his islamophobia. Next. https://t.co/AArzRN…
750,johnieboycooks,"[""fusion""]",RT @Fusion: This former Bush administration official appeared in a Spanish-language ad for Clinton https://t.co/hXyo71kYUA https://t.co/4cx…
751,errivvvvers,"[""backstorymom1"",""stevenreycristo"",""shaunking"",""charlesmblow"",""jacquel78403333""]",RT @Jacquel78403333: @StevenReyCristo @Backstorymom1 @CharlesMBlow @ShaunKing Wrong the racist KKK/WHT Nationalist is leading the @SenateGO…
752,ramonasnails,"[""blicqer"",""abc7ny""]",RT @blicqer: ▶ Clinton campaign receives envelope with suspicious powder https://t.co/FXfIxTEMER @ABC7NY https://t.co/v6ig0uiP4N
753,ramonasnails,"[""eurweb"",""blicqer""]",RT @blicqer: Donald Trump Shares His ‘New Deal for Black America’ (WATCH) https://t.co/RRc1am9Jqv @EurWeb https://t.co/nIXWeYzRlR
754,brianthelifter,"[""rawstory""]",RT @RawStory: Obama: fears expressed at Republican convention ‘don’t jive with the facts’ https://t.co/bLFvtG6EMH https://t.co/vLIKgeW40I
755,brianaregland,"[""thebpdshow"",""blicqer""]",RT @blicqer: Obama Visits Baton Rouge https://t.co/FArpNeSciV via @TheBpDShow
756,camosaseko,"[""corybooker"",""danteb4u""]",RT @DanteB4u: .@CoryBooker - #Democrats must block the confirmation based upon the indisputable rejection of the Trump agenda by… 
757,cliftonhughes_,"[""therealnews"",""blicqer""]",RT @blicqer: ▶ Affordable Housing Trust Fund Tacked onto Baltimore’s Election Day Ballot https://t.co/MKrHxOSfNC @TheRealNews https://t.co/…
758,jerstoner,"[""blicqer"",""afronews""]",RT @blicqer: Obama Keeps Unusually Late Hours on Vineyard Vacation https://t.co/09jAO1USIY @AfroNews
759,eliasbrick,"[""talibkweli""]","RT @TalibKweli: It started w first black president. Birthers, led by Trump, went nuts, bought guns, started white nationalist sites https:/…"
760,wokefromday1,"[""djolder""]","RT @djolder: If Trump said ""What is Aleppo?"" the headlines would be all TRUMP PONDERS INTERESTING EXISTENTIAL QUESTION OF UNITY https://t.c…"
761,jerstoner,"[""mspackyetti"",""necs""]",RT @necs: Thank you @MsPackyetti. Organized people + policy rooted in community + movement pressure = change.  https://t.co/ADlOqIKPp9
762,cliftonhughes_,"[""russian_starr""]",RT @Russian_Starr: Black journalists: RT if you Trump's campaign has dodged interviews with you. Like if he has granted you a sitdown.
763,bigboysneed,"[""blicqer""]",RT @blicqer: ▶ Ted Cruz Phone-Banking For Trump Was Pathetic &amp; The Internet NAILED Him For It (TWEETS) https://t.co/ebYuSqhUgZ… 
764,imissobama,"[""feministajones""]",RT @FeministaJones: Donald Trump suggests that he would have won the case against him. He also says that he paid $25 million to focus on th…
765,youjustctrlc,"[""deray""]",RT @deray: wild. https://t.co/FytcSSenBA
766,watchmewalkin,"[""newyorkcommuter"",""blicqer"",""abc7ny""]","RT @blicqer: ▶Obama: I Have 'Better Argument' for TPP Than Trump, Clinton https://t.co/b0GOCSw6P8 @ABC7NY @NewYorkCommuter"
767,alecmooooody,"[""rawstory""]",RT @RawStory: Eric Trump becomes second Trump to appear on radio show with ties to white nationalism https://t.co/ionMc5cpzA https://t.co/M…
768,malloryjared,"[""blicqer"",""livenewscloud""]",RT @blicqer: Obama: Trump appeals to ‘folks who feel left out’ – WATCH THE INT... https://t.co/6ASbX7m9Yo via @LiveNewsCloud https://t.co/G…
769,nojonathonno,"[""blicqer"",""rawstory""]",RT @blicqer: ▶ Chicago wants to remove Trump sign after he cites shootings there https://t.co/e55DWESFxh @RawStory https://t.co/9ChJHBX7LX
770,liljordamn,"[""djolder""]",RT @djolder: looking extra like a boss https://t.co/ovxJtlg9Su
771,melanymelanin,"[""talibkweli""]",RT @TalibKweli: I am. And? https://t.co/2S05GnsLLM
772,onemightyfish,"[""delo_taylor""]",RT @Delo_Taylor: Statement from Paul Manafort on his resignation &amp; the current state of the Donald Trump campaign: https://t.co/mAkanskp2H
773,bigboyjasiah,"[""mrnegromilitant""]","RT @MrNegroMilitant: White Nationalists: Trump's A Chance To Break Into Media Mainstream.

https://t.co/J5eKihm7x9 https://t.co/TFeFhXj552"
774,liljordamn,"[""blicqer"",""abc7ny"",""newyorkcommuter""]",RT @blicqer: ▶Trump to Father of Fallen Soldier: 'I've Made a Lot of Sacrifices' https://t.co/TlJ40BbTzA @ABC7NY @NewYorkCommuter
775,drmichaelgarcia,"[""carolinehonz"",""talibkweli"",""goodlimediner""]",RT @TalibKweli: RT @goodlimediner: @CarolineHonz the kkk support trump &amp; burn black churches. This is voter intimidation a clear threat.
